ID,label,genus,latitude,longitude,speakersLog,color,r,X,Y,,x new,y new,cx,cy,countrycodes,family,Genus_CAPS,Name,speakers,,,,
ash,Adyghe (Shapsugh),northwest caucasian,45.00,38.75,13,#e4bd00,22.930555,414,685,,-70.4048792,52.46164,-270.24396,-403.06888,RU,Northwest Caucasian,Northwest Caucasian,Adyghe (Shapsugh),575900,,,,
est,Estonian,finnic,59.00,26.00,14,#cc004c,24.694445,510,575,,-71.4086248,53.42179,-320.43124,-326.25668,EE,Uralic,Finnic,Estonian,1100000,,,,
fin,Finnish,finnic,62.00,25.00,16,#bc0c4e,28.222219,496,604,,-65.609669,54.13330,-30.48345,-269.33603,FI,Uralic,Finnic,Finnish,5400000,,,,
krl,Karelian,finnic,64.00,32.00,10,#bc0b63,17.638889,474,575,,-70.4274244,57.09026,-271.37122,-32.77923,RU,Uralic,Finnic,Karelian,36000,,,,
liv,Liv,finnic,56.83,24.00,4,#cc0080,70.555553,482,591,,-70.8450616,53.69447,-292.25308,-304.44241,LV,Uralic,Finnic,Liv,40,,,,
vep,Veps,finnic,60.00,35.00,7,#cc0066,12.347222,493,561,,-70.3258942,53.85184,-266.29471,-291.85318,RU,Uralic,Finnic,Veps,1600,,,,
vot,Votic,finnic,59.50,30.00,4,#c00b7c,70.555553,492,581,,-71.653769,53.83737,-332.68845,-293.01062,RU,Uralic,Finnic,Votic,68,,,,
scs,Saami (Central-South),saami,64.67,16.75,6,#99004c,10.583333,547,542,,-72.8486316,54.62649,-392.43158,-229.88101,SE,Uralic,Saami,Saami (Central-South),500,,,,
ski,Saami (Kildin),saami,67.00,37.00,7,#8b0849,12.347222,560,529,,-72.3773156,54.35409,-368.86578,-251.67247,RU,Uralic,Saami,Saami (Kildin),787,,,,
sno,Saami (Northern),saami,69.00,24.00,10,#7e0843,17.638889,565,549,,-72.1675012,54.77585,-358.37506,-217.93236,FI SE NO,Uralic,Saami,Saami (Northern),15000,,,,
hun,Hungarian,ugric,47.00,20.00,16,#ff33cc,28.222219,561,602,,-65.791857,53.59600,-39.59285,-312.31967,HU,Uralic,Ugric,Hungarian,13000000,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
